idDrink,strDrink,strCategory,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strTags,dateModified,Ingredient,num_ingredientes,cluster,image_filename_x,image_path_x,image_filename_y,image_path_y,image_path
12316,Strawberry Daiquiri,Ordinary Drink,Alcoholic,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/deu59m1504736135.jpg,,2017-09-06 23:15:36,"['Strawberry schnapps', 'Light rum', 'Lime juice', 'Powdered sugar', 'Strawberries']",5,4.0,12316.jpg,cocktail_images/12316.jpg,12316.jpg,cocktail_images\12316.jpg,cocktail_images\12316.jpg
12564,Apple Karate,Cocktail,Non alcoholic,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",https://www.thecocktaildb.com/images/media/drink/syusvw1468876634.jpg,,2016-07-18 22:17:14,"['Apple juice', 'Carrot']",2,4.0,12564.jpg,cocktail_images/12564.jpg,12564.jpg,cocktail_images\12564.jpg,cocktail_images\12564.jpg
17228,Addison,Cocktail,Alcoholic,Martini Glass,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,,2017-09-07 22:38:20,"['Gin', 'Vermouth']",2,1.0,17228.jpg,cocktail_images/17228.jpg,17228.jpg,cocktail_images\17228.jpg,cocktail_images\17228.jpg
16942,Zipperhead,Shot,Alcoholic,Whiskey sour glass,"Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top).",https://www.thecocktaildb.com/images/media/drink/r2qzhu1485620235.jpg,,2017-01-28 16:17:15,"['Chambord raspberry liqueur', 'Vodka', 'Soda water']",3,2.0,16942.jpg,cocktail_images/16942.jpg,16942.jpg,cocktail_images\16942.jpg,cocktail_images\16942.jpg
13683,Apple Slammer,Shot,Alcoholic,Shot glass,"pour into a shot glass and present to consumer, they are expected to cover the top of the shotglass with thier palm, raise the glass, slam it on the bar and the swallow quickly.",https://www.thecocktaildb.com/images/media/drink/09yd5f1493069852.jpg,,2017-04-24 22:37:32,"['7-Up', 'Apple schnapps']",2,4.0,13683.jpg,cocktail_images/13683.jpg,13683.jpg,cocktail_images\13683.jpg,cocktail_images\13683.jpg
11000,Mojito,Cocktail,Alcoholic,Highball glass,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,https://www.thecocktaildb.com/images/media/drink/metwgh1606770327.jpg,"IBA,ContemporaryClassic,Alcoholic,USA,Asia,Vegan,Citrus,Brunch,Hangover,Mild",2016-11-04 09:17:09,"['Light rum', 'Lime', 'Sugar', 'Mint', 'Soda water']",5,3.0,11000.jpg,cocktail_images/11000.jpg,11000.jpg,cocktail_images\11000.jpg,cocktail_images\11000.jpg
13032,Spiced Peach Punch,Punch / Party Drink,Non alcoholic,Collins Glass,"Combine peach nectar, orange juice and brown sugar in a large saucepan. Tie cinnamon and cloves in a small cheesecloth bag. Drop into saucepan. Heat slowly, stirring constantly, until sugar dissolves. Simmer 10 minutes. Stir in lime juice. Serve in hot mugs.",https://www.thecocktaildb.com/images/media/drink/qxvypq1468924331.jpg,,2016-07-19 11:32:11,"['Peach nectar', 'Orange juice', 'Brown sugar', 'Cinnamon', 'Cloves', 'Lime juice']",6,4.0,13032.jpg,cocktail_images/13032.jpg,13032.jpg,cocktail_images\13032.jpg,cocktail_images\13032.jpg
178344,Figgy Thyme,Cocktail,Alcoholic,Highball glass,"In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme.",https://www.thecocktaildb.com/images/media/drink/pbw4e51606766578.jpg,"Christmas,Sweet",,"['Vodka', 'Honey', 'Figs', 'Thyme', 'Angostura Bitters', 'Tonic Water']",6,2.0,178344.jpg,cocktail_images/178344.jpg,178344.jpg,cocktail_images\178344.jpg,cocktail_images\178344.jpg
17079,Baby Guinness,Shot,Alcoholic,Shot glass,"Pour Kahlua, almost filling shot glass. Then, carefully pour Baileys, using wall of shot glass. This will give the ""Guinness"" its ""head"".",https://www.thecocktaildb.com/images/media/drink/rvyvxs1473482359.jpg,,2016-09-10 05:39:19,"['Kahlua', 'Baileys irish cream']",2,4.0,17079.jpg,cocktail_images/17079.jpg,17079.jpg,cocktail_images\17079.jpg,cocktail_images\17079.jpg
12138,Scotch Cobbler,Ordinary Drink,Alcoholic,Old-fashioned glass,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve.",https://www.thecocktaildb.com/images/media/drink/1q7coh1504736227.jpg,,2017-09-06 23:17:07,"['Scotch', 'Brandy', 'Curacao', 'Orange', 'Mint']",5,4.0,12138.jpg,cocktail_images/12138.jpg,12138.jpg,cocktail_images\12138.jpg,cocktail_images\12138.jpg
13497,Green Goblin,Beer,Alcoholic,Pint glass,"Cider First, Lager then Curacao",https://www.thecocktaildb.com/images/media/drink/qxprxr1454511520.jpg,,2016-02-03 14:58:40,"['Cider', 'Lager', 'Blue Curacao']",3,4.0,13497.jpg,cocktail_images/13497.jpg,13497.jpg,cocktail_images\13497.jpg,cocktail_images\13497.jpg
17838,Adonis Cocktail,Ordinary Drink,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,,2016-09-02 11:27:11,"['Sweet Vermouth', 'Sherry', 'Orange bitters']",3,4.0,17838.jpg,cocktail_images/17838.jpg,17838.jpg,cocktail_images\17838.jpg,cocktail_images\17838.jpg
15194,Amaretto Shake,Ordinary Drink,Alcoholic,Collins Glass,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.,https://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg,,2017-04-24 22:34:16,"['Chocolate ice-cream', 'Brandy', 'Amaretto']",3,4.0,15194.jpg,cocktail_images/15194.jpg,15194.jpg,cocktail_images\15194.jpg,cocktail_images\15194.jpg
17837,Adam,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,"Alcoholic,Holiday",2016-09-02 11:29:29,"['Dark rum', 'Lemon juice', 'Grenadine']",3,4.0,17837.jpg,cocktail_images/17837.jpg,17837.jpg,cocktail_images\17837.jpg,cocktail_images\17837.jpg
14978,Rum Punch,Punch / Party Drink,Alcoholic,Punch bowl,Mix all ingredients in a punch bowl and serve.,https://www.thecocktaildb.com/images/media/drink/wyrsxu1441554538.jpg,,2015-09-06 16:48:58,"['Rum', 'Ginger ale', 'Fruit punch', 'Orange juice', 'Ice']",5,4.0,14978.jpg,cocktail_images/14978.jpg,14978.jpg,cocktail_images\14978.jpg,cocktail_images\14978.jpg
12196,Sidecar,Ordinary Drink,Alcoholic,Cocktail glass,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,https://www.thecocktaildb.com/images/media/drink/x72sik1606854964.jpg,"IBA,Classic",2015-08-18 15:07:32,"['Cognac', 'Cointreau', 'Lemon juice']",3,4.0,12196.jpg,cocktail_images/12196.jpg,12196.jpg,cocktail_images\12196.jpg,cocktail_images\12196.jpg
11408,Gin Daisy,Ordinary Drink,Alcoholic,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.",https://www.thecocktaildb.com/images/media/drink/z6e22f1582581155.jpg,,2016-11-10 23:19:04,"['Gin', 'Lemon juice', 'Sugar', 'Grenadine', 'Maraschino cherry', 'Orange']",6,3.0,11408.jpg,cocktail_images/11408.jpg,11408.jpg,cocktail_images\11408.jpg,cocktail_images\11408.jpg
12130,Scooter,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/twuptu1483388307.jpg,,2017-01-02 20:18:27,"['Brandy', 'Amaretto', 'Light cream']",3,4.0,12130.jpg,cocktail_images/12130.jpg,12130.jpg,cocktail_images\12130.jpg,cocktail_images\12130.jpg
12460,Vodka And Tonic,Ordinary Drink,Alcoholic,Highball glass,"Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/lmj2yt1504820500.jpg,,2017-09-07 22:41:40,"['Vodka', 'Tonic water']",2,2.0,12460.jpg,cocktail_images/12460.jpg,12460.jpg,cocktail_images\12460.jpg,cocktail_images\12460.jpg
